SEQN,SDDSRVYR,RIDSTATR,RIAGENDR,RIDAGEYR,RIDRETH1,RIDRETH3,RIDEXMON,DMQMILIZ,DMDBORN4,DMDCITZN,DMDEDUC2,DMDMARTL,SIALANG,SIAPROXY,SIAINTRP,FIALANG,FIAPROXY,FIAINTRP,MIALANG,MIAPROXY,MIAINTRP,AIALANGA,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA,INDHHIN2,INDFMIN2,INDFMPIR,DMDHHSIZ,DMDFMSIZ,DMDHHSZA,DMDHHSZB,DMDHHSZE,DMDHRGND,DMDHRAGE,DMDHRBR4,DMDHREDU,DMDHRMAR,DMDHSEDU
64400,7,2,2,61,1,1,1.0,2.0,2,2.0,1.0,1.0,2,2.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,11623.354795000001,12210.370942,1,94,6.0,6.0,1.98,2,2,0,0,2,1,65,2.0,1.0,1.0,1.0
64401,7,2,1,29,4,4,2.0,2.0,1,1.0,3.0,6.0,1,2.0,2,1.0,2.0,2.0,,,,,29537.209125,29019.340657,1,95,12.0,3.0,1.19,4,1,0,0,0,1,29,1.0,3.0,6.0,
64402,7,2,1,48,1,1,2.0,2.0,2,2.0,5.0,1.0,2,2.0,2,2.0,2.0,2.0,1.0,2.0,2.0,2.0,27776.016947000004,27368.446715,2,90,6.0,6.0,1.15,5,5,0,2,0,2,47,2.0,1.0,1.0,5.0
64403,7,2,1,40,3,3,1.0,2.0,1,1.0,2.0,2.0,1,2.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,22685.373982,24056.024455000002,1,98,4.0,4.0,1.0,3,3,0,1,1,1,65,1.0,2.0,1.0,
64404,7,2,1,33,3,3,2.0,2.0,2,2.0,5.0,1.0,1,2.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,99283.360764,105383.970589,3,91,8.0,8.0,3.4,2,2,0,0,0,1,33,2.0,5.0,1.0,4.0
64405,7,2,1,78,5,6,1.0,2.0,2,1.0,1.0,1.0,1,2.0,1,1.0,2.0,1.0,1.0,2.0,1.0,,11550.158096,12480.923929999999,2,92,3.0,3.0,0.4,6,6,0,1,2,1,78,2.0,1.0,1.0,1.0
64406,7,2,1,18,5,6,2.0,2.0,1,1.0,,,1,2.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,6999.347953,8045.308483,3,90,6.0,6.0,1.3,4,4,0,0,0,1,55,2.0,1.0,1.0,1.0
64407,7,2,1,54,4,4,2.0,1.0,1,1.0,3.0,6.0,1,2.0,2,1.0,2.0,2.0,,,,,17801.655316,18085.793361,2,95,6.0,6.0,0.97,6,6,2,1,0,1,54,1.0,3.0,6.0,
64408,7,2,2,15,4,4,2.0,,1,1.0,,,1,1.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,13124.737024,13087.755238,2,101,5.0,5.0,1.08,3,3,0,1,1,2,62,1.0,4.0,2.0,
64409,7,2,1,7,4,4,2.0,,1,1.0,,,1,1.0,2,1.0,2.0,2.0,,,,,7886.4853200000025,7943.675078,1,99,8.0,8.0,1.76,5,5,0,2,1,1,37,1.0,4.0,1.0,3.0
