respid,sample,int_date,fcall,attempt,refusal,ilang,cregion,state,density,usr,scregion,sstate,susr,sdensity,igender,ihisp1,irace1m1,irace1m2,irace1m3,irace1m4,form,llitext,phtype,qs1,q1,q2,campnii,q7,q8,q11,q12,q13,q28a,q28b,q28c,q28df1,q28e,q28ff1,q28gf1,q28hf1,q28if1,q28jf2,q28kf2,q28lf2,q28mf2,q28nf2,q28of2,q28pf2,q33af1,q33bf1,q33cf1,q33df1,q33ef2,q33ff2,q33gf2,q33hf2,q44a,q44b,q45a,q45b,q46,q50af1,q50bf1,q50cf1,q50df2,q50ef2,q51af1,q51bf1,q51cf2,q51df2,q58,q59,q64f1,q65f2,q66a,q66b,q66c,q66df1,q66e,q66ff2,q73,q74,q74a,q74b,q75,q76,q77,q78,q79,q83a,q83b,q84,q93,q96,q97,q98,q99,q100a,q100b,q100c,q100d,sex,age,educ,hisp,racecmb,racethn,birth_hisp,relig,chr,born,attend,income,reg,party,partyln,q101,partysum,ideo,partyideo,partysumideo,hh1,hh3,adults,ql1,ql1a,qc1,ll,cp,money2,cellweight,weight
200783,2,180920,180920,1,0,1,1,34,5,S,1,34,,5,1,1,1, , , ,1, ,,2,2,2,1,2, ,1,1,2,2,2,3,2,1,1,1,2,1, , , , , , , ,2,2,2,2, , , , ,2,3,3,5,1,1,2,2, , ,2,2, , ,1, ,2, ,1,1,2,1,2, ,2,1,1, ,2,2, ,2,1,3,2,2,1,1,4, , ,3,3,2,4,1,81,4,2,1,1, ,2, ,2,5,3,1,2, , ,2,4,5,5,1, ,1, , ,2,0,1,9,0.7916252,0.8819415
200785,2,180921,180920,3,0,1,1,42,2,R,1,42,,2,1,2,1, , , ,1, ,,2,2,2,2,2, ,1,1,2,2,1,2,2,2,1,1,1,1, , , , , , , ,2,2,2,2, , , , ,2,2,2,5,2,3,2,4, , ,9,2, , ,1, ,2, ,1,1,1,1,2, ,2,2, ,2,2,2, ,1,2,3,2,2,1,1,4, , ,2,4,4,4,2,73,6,2,1,1, ,2, ,2,2,8,1,9,2, ,2,3,9,4,2,2,2, , ,1,1,1,9,0.4275662,0.3246599
200786,2,180920,180920,3,0,1,4,53,1,R,3,37,,2,2,2,1, , , ,1, ,,2,2,2,1,2, ,1,1,2,2,1,2,1,4,1,1,2,1, , , , , , , ,2,2,9,2, , , , ,2,3,3,3,1,1,2,2, , ,2,2, , ,1, ,2, ,1,1,1,1,2, ,2,1,1, ,3,2, ,2,1,4,2,2,1,1,4, , , , , , ,1,78,5,2,1,1, ,12, , ,6,4,1,2, , ,2,3,4,4,2,2,2, , ,1,1,1,9,0.5173755,0.4042917
200787,2,180920,180920,3,0,1,3,13,4,S,3,13,,4,2,2,2, , , ,2, ,,2,2,2,2,2, ,1,9,3,1,1,1, , , , , , ,1,1,1,1,1,1,2, , , , ,2,2,2,1,4,3,1,2,9, , , ,2,2, , ,2,2, ,3, ,2,1,1,1, ,2,1,2,1,1, ,2, ,9,2,1,3,2,2,3,9,4,1,1, , , , ,2,53,5,2,2,2, ,1, ,1,3,6,1,2, , ,2,2,4,4,1, ,1, , ,2,0,1,9,1.831751,2.289459
200789,2,180920,180920,3,0,1,3,13,5,S,3,13,,4,1,2,3, , , ,2, ,,2,2,2,2,2, ,1,1,2,1,1,2, , , , , , ,2,1,1,2,1,2,4, , , , ,2,2,2,1,3,2,2,2,2, , , ,2,2, , ,1,2, ,2, ,2,1,1,1, ,2,1,1,1,1, ,3, ,2,2,1,3,2,2,1,1,4,1,2, , , , ,2,62,6,2,1,1, ,1, ,1,3,7,1,2, , ,2,3,4,4,2,2,2, , ,1,1,1,9,0.8098248,0.7230246
200791,2,180920,180920,3,0,1,1,36,4,S,1,36,,4,1,2,1, , , ,1, ,,2,1,1,2,1, ,1,1,1,1,1,1,2,1,2,1,2,2, , , , , , , ,1,1,1,1, , , , ,1,1,2,1,1,2,1,1, , ,1,1, , ,4, ,1, ,2,5,2,5,1, ,1,1,9, ,1,1, ,9,1,2,4,2,1,4,1, , ,3,4,3,9,1,62,6,2,1,1, ,2, ,2,4,9,1,1, ,1,1,3,2,2,2,2,2, , ,2,0,1,9,0.6546682,0.7339139
200794,2,180920,180920,3,0,1,4,8,3,S,3,37,,2,2,2,1, , , ,1, ,,2,2,2,1,2, ,1,1,3,2,1,2,1,2,1,3,2,2, , , , , , , ,2,2,2,2, , , , ,2,3,2,2,2,1,2,2, , ,1,2, , ,1, ,2, ,1,1,1,1,2, ,2,2, ,2,2,2, ,2,1,3,2,1,1,1,3, , , , , , ,2,24,6,2,1,1, ,1, ,2,3,5,1,3,2, ,2,3,3,4,2,2,2, , ,2,0,1,9,0.5703003,0.9629303
200796,2,180920,180920,3,0,1,3,51,5,,3,51,,5,1,2,1, , , ,1, ,,2,2,2,2,2, ,1,1,3,1,1,1,2,1,1,1,4,1, , , , , , , ,2,2,2,2, , , , ,2,2,2,2,2,2,2,4, , ,2,2, , ,1, ,9, ,1,1,1,1,2, ,2,1,2, ,3,2, ,2,2,3,1,8,1,1,4, , , , , , ,2,78,3,2,1,1, ,1, ,1,1,7,1,2, , ,2,4,5,5,1, ,1, , ,2,0,1,9,2.0878335,1.5231306
200797,2,180920,180920,3,0,1,3,24,2,S,3,24,,2,2,2,2, , , ,2, ,,2,2,2,2,2, ,1,1,2,2,1,1, , , , , , ,2,1,1,1,1,1,1, , , , ,2,2,2,1,3,2,1,5,1, , , ,4,2, , ,2,2, ,4, ,1,1,2,1, ,1,1,2,1,1, ,2, ,2,3,1,4,2,1,1,1,4,1,1,2,3,1,2,1,68,6,2,1,1, ,2, ,2,2,7,1,2, , ,2,4,5,5,2,2,2, , ,1,1,1,9,0.3012986,0.2808725
200799,2,180920,180920,2,0,1,1,23,2,R,1,23,,2,2,1,1, , , ,1, ,,2,1,1,2,1, ,2,1,3,1,1,1,1,1,1,2,2,1, , , , , , , ,2,1,1,2, , , , ,2,3,2,2,2,2,2,1, , ,1,1, , ,2, ,1, ,2,2,1,1,1, ,1,2, ,2,3,1, ,2,1,2,2,2,1,2,2, , ,2,4,1,2,2,71,5,2,1,1, ,2, ,2,3,7,1,3,1,2,1,3,3,2,2,2,2, , ,2,0,1,9,0.5239217,0.4978351
200800,2,180920,180920,2,0,1,3,51,1,U,3,51,,1,2,2,1, , , ,1, ,,2,2,2,2,2, ,2,1,3,1,2,3,2,2,1,2,2,1, , , , , , , ,2,2,2,2, , , , ,4,3,2,1,2,1,2,2, , ,2,2, , ,4, ,2, ,2,1,1,1,2, ,1,1,2, ,2,9, ,2,1,3,2,2,1,4,4, , , , , , ,1,39,3,1,1,3,1,13, ,2,2,7,1,3,2, ,2,3,3,4,7,2,2, , ,2,0,1,1,1.4155419,1.7605879
200802,2,180920,180920,3,0,1,1,36,3,U,1,36,,2,1,2,1, , , ,1, ,,2,2,2,3,1, ,3,2,3,3,2,1,2,2,3,2,2,2, , , , , , , ,2,1,1,2, , , , ,3,3,2,2,2,3,1,4, , ,1,2, , ,3, ,2, ,2,1,1,1,2, ,2,2, ,2,2,9, ,1,1,3,3,2,2,3,3, , , , , , ,2,24,6,2,1,1, ,1, ,1,2,5,3,3,2, ,2,3,3,4,3,3,3, , ,2,0,1,9,0.7291468,1.1633713
200803,2,180920,180920,3,0,1,3,37,2,S,3,37,,1,2,1,1, , , ,2, ,,2,2,2,4,2, ,2,2,9,1,1,1, , , , , , ,1,1,1,1,1,1,1, , , , ,1,2,2,2,4,3,4,2,2, , , ,2,2, , ,2,2, ,3, ,2,2,1,1, ,2,1,2,2, ,2,2, ,2,4,1,2,2,4,3,3,3,2,2, , , , ,2,30,4,2,1,1, ,13, ,2,5,1,3,2, , ,2,3,4,4,6,2,2, , ,2,0,1,9,1.7248243,2.3655204
200804,2,180920,180920,2,1,1,1,42,2,S,1,42,,1,2,1,1, , , ,2, ,,2,1,1,2,1, ,1,1,1,1,1,1, , , , , , ,1,1,1,1,3,1,3, , , , ,9,1,1,1,3,1,2,2,9, , , ,1,1, , ,1,9, ,1, ,1,2,2,1, ,1,2,1,2, ,2,3, ,1,3,1,1,4,5,2,2,1,9,9, , , , ,1,48,6,2,1,1, ,12, , ,4,7,1,2, , ,2,2,4,4,4,2,2, , ,1,1,1,9,0.5461385,0.4354112
200806,2,180921,180920,3,0,1,1,34,3,S,1,34,,5,1,2,3, , , ,2, ,,2,1,1,2,3,3,2,1,1,1,2,1, , , , , , ,2,1,1,1,3,1,1, , , , ,1,1,1,1,2,1,2,2,1, , , ,1,1, , ,1,1, ,4, ,1,2,2,2, ,2,2,2,2, ,2,1, ,1,2,2,2,3,8,1,4,2,1,9, , , , ,1,52,8,2,1,1, ,13, ,2,3,9,1,1, ,2,1,2,1,1,5,2,2, , ,1,1,1,9,0.5986223,0.5294269
200808,2,180920,180920,2,0,1,4,53,4,U,2,39,,4,2,1,4, , , ,1, ,,2,2,2,1,2, ,1,1,2,1,1,1,1,2,2,1,1,1, , , , , , , ,2,2,2,2, , , , ,2,3,3,2,1,1,2,2, , ,2,2, , ,1, ,2, ,1,1,1,1,2, ,2,1,1, ,3,2, ,2,1,4,2,2,1,1,4, , , , , , ,1,24,6,2,1,1, ,1, ,2,4,6,1,2, , ,2,5,5,5,2,2,2, , ,2,0,1,1,0.3315034,0.5201526
200810,2,180920,180920,2,0,1,3,37,4,U,3,37,,3,1,2,1, , , ,2, ,,2,2,1,2,1, ,3,1,1,1,2,1, , , , , , ,2,1,4,1,2,2,3, , , , ,2,1,1,1,2,1,2,2,2, , , ,1,1, , ,1,1, ,2, ,1,2,2,2, ,2,2,1,2, ,2,3, ,1,3,9,2,4,9,1,4,2,1,1, , , , ,1,67,6,2,1,1, ,1, ,2,5,9,1,1, ,1,1,1,1,1,3,3,3, , ,2,0,1,9,0.3012986,0.3786609
200811,2,180920,180920,2,0,1,3,13,3,S,3,13,,3,1,2,1, , , ,2, ,,2,2,2,2,2, ,1,2,2,1,1,1, , , , , , ,1,1,1,1,4,1,2, , , , ,2,2,2,1,3,3,1,2,1, , , ,2,2, , ,1,1, ,2, ,2,1,1,1, ,2,1,2,1,1, ,3, ,2,1,1,3,2,2,2,4,4,2,1,1,1,3,3,2,18,4,1,5,3,3,2, ,2,1,9,1,2, , ,2,4,5,5,4,3,3, , ,2,0,1,1,1.8005168,2.5463809
200813,2,180920,180920,2,0,1,3,12,4,U,3,12,,4,2,1,1, , , ,1, ,,2,9,2,3,2, ,1,1,2,1,2,2,1,2,2,2,1,2, , , , , , , ,2,2,2,2, , , , ,3,1,3,3,2,1,2,2, , ,1,2, , ,1, ,2, ,1,1,1,2,2, ,2,1,2, ,2,2, ,2,1,1,2,2,2,3,4, , , , , , ,2,19,4,2,1,1, ,12, , ,5,10,1,3,2, ,2,4,3,5,3,3,3, , ,1,1,1,9,1.7274099,2.2207496
200815,2,180920,180920,2,0,1,1,23,1,R,1,23,,1,2,1,1, , , ,2, ,,2,1,1,2,1, ,1,1,3,1,2,1, , , , , , ,1,2,4,3,2,3,3, , , , ,2,1,1,1,2,1,2,2,1, , , ,1,1, , ,1,1, ,1, ,1,2,2,1, ,1,2,1,2, ,2,1, ,1,2,1,2,3,2,1,4,2,1,1, , , , ,1,60,6,2,1,1, ,1, ,2,4,9,1,3,1,1,1,3,3,2,2,2,2, , ,1,1,1,9,0.3012986,0.2808725
200816,2,180920,180920,2,0,1,3,21,1,R,3,21,,1,2,2,1, , , ,2, ,,2,9,9,1,1, ,1,1,1,2,1,1, , , , , , ,1,1,2,1,1,2,1, , , , ,2,1,9,1,3,1,4,2,1, , , ,1,3, , ,1,2, ,1, ,1,5,1,2, ,2,2,1,1,1, ,3, ,9,2,2,2,3,8,1,1,2,1,2, , , , ,1,54,1,2,1,1, ,1, ,2,6,4,1,1, ,2,1,2,1,1,4,4,3, , ,1,1,1,9,0.8585015,0.9643017
200817,2,180920,180920,2,0,1,2,18,3,U,2,18,,5,1,2,1, , , ,2, ,,2,2,2,2,2, ,1,1,3,2,1,1, , , , , , ,3,1,1,1,2,1,2, , , , ,2,2,2,1,3,2,1,3,2, , , ,2,2, , ,2,2, ,4, ,2,1,1,1, ,2,1,2,1,1, ,2, ,2,1,1,4,2,2,1,1,4,2,2, , , , ,2,51,6,2,1,1, ,13, ,2,4,9,1,2, , ,2,4,5,5,2,2,2, , ,2,0,1,9,0.6766729,0.9559381
200818,2,180920,180920,2,0,1,3,37,4,U,3,37,,4,2,1,1, , , ,1, ,,2,1,1,1,1, ,3,1,1,1,4,1,4,1,1,1,4,1, , , , , , , ,1,1,1,1, , , , ,1,1,2,1,2,2,1,1, , ,1,1, , ,4, ,1, ,5,2,1,2,1, ,1,2, ,2,1,1, ,3,2,3,4,2,1,4,1, , , , , , ,1,77,8,2,1,1, ,1, ,9,3,7,1,3,1,1,1,2,3,1,2,2,2, , ,2,0,1,9,0.567197,0.4802693
200819,2,180920,180920,2,0,1,3,51,5,U,3,51,,4,2,1,4, , , ,2, ,,2,2,2,4,1, ,2,2,3,1,1,1, , , , , , ,2,4,1,1,1,2,1, , , , ,2,2,1,1,3,3,3,4,2, , , ,1,1, , ,1,1, ,4, ,2,2,1,1, ,1,2,2,1,1, ,3, ,1,4,2,2,3,3,3,4,4,2,2, , , , ,1,55,2,2,2,2, ,12, , ,6,1,3,3,1,2,1,3,3,2,1, ,1, , ,2,0,1,1,2.6046013,2.5463809
200820,2,180920,180920,2,0,1,1,36,4,S,1,36,,4,2,2,1, , , ,2, ,,2,1,1,4,9,9,9,1,2,1,1,1, , , , , , ,1,2,1,1,1,1,1, , , , ,2,1,1,1,1,3,2,2,1, , , ,9,9, , ,9,9, ,4, ,1,1,2,1, ,2,1,2,1,2, ,3, ,2,3,2,3,2,2,3,2,2,1,1, , , , ,2,29,6,2,3,4, ,8, , ,3,1,3,3,2, ,2,5,3,5,1, ,1, , ,2,0,1,1,1.2252155,1.8882222
200823,2,180920,180920,2,0,1,3,45,1,S,3,45,,1,1,2,1, , , ,2, ,,2,1,1,1,1, ,1,1,1,1,1,1, , , , , , ,1,1,1,1,1,1,1, , , , ,1,1,1,1,1,1,1,1,1, , , ,1,1, , ,1,1, ,1, ,1,2,2,2, ,2,2,1,2, ,2,3, ,1,2,2,2,4,2,1,3,1,1,1, , , , ,2,64,8,2,1,1, ,12, , ,5,7,1,1, ,1,1,2,1,1,2,2,2, , ,1,1,1,1,0.4778954,0.4142747
200826,2,180920,180920,2,0,1,3,51,2,S,3,51,,4,1,2,1, , , ,2, ,,2,2,1,1,1, ,3,1,3,1,2,1, , , , , , ,1,1,2,2,1,2,1, , , , ,2,1,1,1,2,3,2,2,2, , , ,4,1, , ,1,1, ,1, ,1,2,2,2, ,1,2,1,2, ,2,3, ,1,4,2,3,4,4,1,4,2,1,2, , , , ,2,64,4,2,1,1, ,1, ,1,1,6,1,1, ,2,1,1,1,1,2,2,2, , ,2,0,1,9,0.774492,0.8007904
200827,2,180920,180920,2,0,1,1,42,4,S,1,42,,4,2,2,1, , , ,2, ,,2,1,1,4,1, ,2,2,3,1,2,2, , , , , , ,1,2,1,4,1,4,1, , , , ,2,2,2,1,3,1,2,2,1, , , ,1,2, , ,2,1, ,4, ,2,1,1,1, ,1,1,2,2, ,1,2, ,1,2,1,1,3,2,3,2,3,2,2, , , , ,1,25,3,2,1,1, ,10, , ,5,3,3,3,2, ,2,3,3,4,3,3,3, , ,2,0,1,9,1.0293905,1.8567885
200829,2,180920,180920,2,0,1,3,12,4,U,3,12,,4,1,1,1, , , ,2, ,,2,2,2,1,2, ,3,1,2,1,1,4, , , , , , ,4,1,1,1,1,2,2, , , , ,2,2,2,2,3,2,4,2,2, , , ,2,2, , ,2,2, ,4, ,2,1,1,1, ,2,1,2,1,1, ,2, ,2,2,1,4,2,2,1,1,4,1,2, , , , ,2,58,5,2,5,4, ,12, , ,6,2,1,3,2, ,2,3,3,4,2,2,2, , ,2,0,1,9,1.2143567,1.4324247
200830,2,180920,180920,2,0,1,2,18,2,R,2,18,,2,2,2,2, , , ,1, ,,2,2,9,2,2, ,2,1,3,1,1,1,1,1,1,1,1,2, , , , , , , ,1,1,1,1, , , , ,2,3,4,1,1,1,1,1, , ,2,2, , ,2, ,2, ,2,1,2,2,2, ,1,2, ,2,3,1, ,2,1,2,2,2,2,9,2, , , , , , ,1,47,3,2,1,1, ,12, , ,4,2,1,4,1,2,1,2,9,1,1, ,1, , ,2,0,1,1,1.6563961,1.6297229
200831,2,180920,180920,2,0,1,3,24,2,S,3,24,,2,2,1,1, , , ,2, ,,2,1,1,2,1, ,2,2,1,1,2,1, , , , , , ,1,4,4,3,2,2,2, , , , ,2,1,1,1,2,3,1,5,1, , , ,1,1, , ,1,1, ,1, ,1,2,2,1, ,1,2,1,2, ,2,1, ,1,3,1,2,4,9,2,3,2,1,1, , , , ,1,48,7,2,1,1, ,1, ,1,2,9,1,1, ,2,1,3,2,2,4,2,2, , ,2,0,1,9,0.4065643,0.5452119
200832,2,180920,180920,2,0,1,3,12,4,S,3,12,,4,1,2,1, , , ,1, ,,2,2,2,1,2, ,1,1,2,2,1,2,1,2,1,1,1,1, , , , , , , ,2,2,2,2, , , , ,3,2,2,4,2,1,2,2, , ,2,2, , ,1, ,2, ,1,1,1,1,2, ,2,1,1, ,2,2, ,2,1,4,2,2,1,1,4, , , , , , ,2,64,5,2,1,1, ,1, ,2,5,8,1,2, , ,2,4,5,5,2,2,2, , ,2,0,1,9,1.0660179,1.1111293
200835,2,180920,180920,2,0,1,2,26,1,R,2,26,,1,2,1,1, , , ,1, ,,2,2,2,1,2, ,1,1,2,1,1,1,1,1,1,1,1,1, , , , , , , ,2,2,2,2, , , , ,4,3,2,1,2,1,2,2, , ,2,2, , ,1, ,2, ,2,1,1,2,2, ,1,1,1, ,3,2, ,1,1,4,1,2,1,1,4, , ,1,2,1,2,1,67,7,2,1,1, ,2, ,1,3,9,1,2, , ,2,1,4,4,2,2,2, , ,2,0,1,9,0.4201169,0.3553023
200836,2,180920,180920,2,0,1,3,13,3,S,3,13,,4,1,2,1, , , ,2, ,,2,2,1,1,1, ,1,1,1,1,1,1, , , , , , ,1,1,3,4,1,2,4, , , , ,1,1,1,1,2,3,2,2,1, , , ,1,1, , ,1,1, ,1, ,2,1,1,2, ,1,2,1,2, ,2,1, ,1,4,1,2,4,4,1,4,1,1,1, , , , ,2,56,3,2,1,1, ,1, ,1,3,6,2,1, ,1,1,2,1,1,2,2,2, , ,2,0,1,9,2.6046013,2.5463809
200837,2,180920,180920,2,0,1,3,37,4,U,3,51,,1,2,2,2, , , ,2, ,,2,2,2,2,2, ,1,1,3,2,1,1, , , , , , ,2,2,1,2,4,2,2, , , , ,2,2,2,2,2,2,2,2,2, , , ,2,2, , ,2,2, ,2, ,2,1,1,1, ,2,1,2,2, ,2,2, ,2,2,1,4,2,2,1,1,4,1,2, , , , ,2,32,7,2,1,1, ,1, ,2,4,8,1,3,2, ,2,4,3,5,2,2,2, , ,2,0,1,9,0.7968468,1.262531
200838,2,180920,180920,2,0,1,3,47,3,U,3,47,,3,2,2,2, , , ,1, ,,2,2,1,2,1, ,1,1,1,2,1,1,2,1,1,1,2,1, , , , , , , ,1,1,1,1, , , , ,2,3,2,2,1,1,1,4, , ,1,1, , ,2, ,1, ,1,1,2,2,2, ,1,1,2, ,1,1, ,2,1,2,4,3,1,4,2, , ,3,4,4,9,1,99,4,2,1,1, ,2, ,2,5,6,1,1, ,1,1,2,1,1,4,4,3, , ,2,0,1,9,0.7636324,0.8926146
200839,2,180920,180920,2,0,1,1,42,2,R,1,42,,3,1,2,3, , , ,2, ,,2,9,1,2,3,3,2,2,3,1,1,2, , , , , , ,1,2,1,1,1,2,1, , , , ,1,2,1,1,3,1,2,2,2, , , ,4,4, , ,3,1, ,1, ,3,5,1,1, ,2,9,1,2, ,2,3, ,1,3,1,2,2,1,1,2,2,1,1, , , , ,2,40,4,2,1,1, ,13, ,9,2,7,1,3,9, ,9,3,3, ,5,2,2, , ,1,1,1,9,2.1229605,1.7045415
200840,2,180920,180920,2,0,1,1,36,2,R,1,36,,2,2,1,1, , , ,1, ,,2,2,2,2,2, ,1,1,2,1,1,2,1,2,2,1,1,1, , , , , , , ,2,1,2,9, , , , ,2,3,3,2,1,1,2,2, , ,9,2, , ,1, ,9, ,1,2,1,1,9, ,2,1,1, ,9,9, ,2,1,4,2,1,1,1,4, , , , , , ,1,46,3,2,1,1, ,12, , ,5,5,1,2, , ,2,4,5,5,1, ,1, , ,2,0,1,9,1.9306229,1.7911335
200842,2,180920,180920,2,0,1,3,24,4,S,3,24,,4,1,2,1, , , ,1, ,,2,2,2,2,2, ,1,1,2,3,1,2,1,4,3,2,1,1, , , , , , , ,2,2,2,2, , , , ,3,3,1,2,2,1,2,2, , ,2,2, , ,1, ,2, ,1,1,1,1,2, ,2,1,1, ,3,2, ,1,1,3,2,2,1,1,4, , , , , , ,1,22,6,1,5,3,3,10, , ,5,9,3,2, , ,2,5,5,5,3,3,3, , ,1,1,1,9,0.3012986,0.3429543
200843,2,180922,180920,4,0,1,2,39,1,R,2,39,,1,2,2,2, , , ,1, ,,2,2,2,2,3,2,1,1,2,1,1,2,1,1,1,1,2,1, , , , , , , ,2,3,2,2, , , , ,2,3,3,2,9,3,9,4, , ,9,2, , ,1, ,9, ,1,1,1,1,2, ,2,9, , ,3,9, ,9,2,3,2,1,1,2,4, , ,2,2,2,9,2,59,8,2,1,1, ,2, ,2,1,4,1,4,2, ,2,3,9,4,1, ,1, , ,2,0,1,9,0.6443737,0.6637812
200844,2,180920,180920,2,0,1,1,36,5,U,1,36,,5,2,1,1, , , ,2, ,,2,2,2,9,3,9,1,2,9,2,1,2, , , , , , ,2,1,1,2,2,1,1, , , , ,2,2,2,2,2,2,1,5,1, , , ,2,2, , ,2,2, ,4, ,1,1,1,1, ,2,1,2,1,2, ,3, ,2,1,1,8,8,1,1,1,4,2,2, , , , ,2,71,6,2,1,1, ,5, , ,4,8,1,3,2, ,2,3,3,4,2,2,2, , ,1,1,1,9,1.2421305,0.7661366
200845,2,180920,180920,2,0,1,3,45,2,S,3,45,,2,2,1,1, , , ,1, ,,2,2,2,3,2, ,1,1,2,1,1,2,3,3,2,2,3,1, , , , , , , ,2,2,2,2, , , , ,2,2,3,2,2,1,2,2, , ,2,2, , ,1, ,2, ,1,1,1,1,2, ,2,1,1, ,2,2, ,1,1,4,2,1,1,1,4, , , , , , ,1,29,5,2,1,1, ,9, , ,6,7,3,2, , ,2,4,5,5,4,4,3, , ,2,0,1,9,1.0852349,1.4043269
200846,2,180920,180920,2,0,1,2,39,5,S,2,39,,5,2,1,1, , , ,1, ,,2,2,2,1,2, ,1,1,2,1,1,1,1,3,2,1,1,1, , , , , , , ,2,2,2,2, , , , ,3,2,2,2,2,1,2,2, , ,2,2, , ,1, ,2, ,1,1,1,1,2, ,2,1,1, ,2,2, ,2,2,4,2,2,1,1,4, , , , , , ,1,53,6,2,1,1, ,12, , ,6,5,1,2, , ,2,5,5,5,2,2,2, , ,2,0,1,9,0.5422128,0.7367913
200850,2,180920,180920,2,0,1,3,10,4,U,2,26,,4,2,1,1, , , ,1, ,,2,2,2,2,9,1,1,2,3,1,1,2,2,2,3,2,2,3, , , , , , , ,2,1,1,1, , , , ,2,1,1,2,2,2,2,4, , ,1,4, , ,3, ,2, ,1,2,1,1,2, ,2,2, ,2,3,1, ,2,1,3,3,2,1,1,3, , , , , , ,1,30,6,2,1,1, ,12, , ,4,8,1,1, ,2,1,3,2,2,2,2,2, , ,2,0,1,9,0.6733836,0.8856561
200851,2,180920,180920,2,0,1,2,18,2,S,2,18,,5,1,2,1, , , ,2, ,,2,2,2,2,2, ,1,1,3,1,1,2, , , , , , ,1,1,1,1,1,1,2, , , , ,2,2,2,2,2,2,1,2,2, , , ,2,2, , ,2,2, ,2, ,2,1,1,1, ,2,1,2,1,1, ,3, ,2,2,1,3,2,3,1,2,4,2,2, , , , ,1,62,6,2,1,1, ,10, , ,4,9,1,2, , ,2,4,5,5,1, ,1, , ,2,0,1,9,0.3012986,0.3745596
200852,2,180920,180920,3,0,1,3,37,3,U,3,37,,3,2,2,1, , , ,2, ,,2,2,2,2,2, ,1,1,2,2,1,1, , , , , , ,1,1,1,1,1,1,1, , , , ,2,2,1,2,2,2,1,3,2, , , ,2,2, , ,2,2, ,3, ,2,1,1,1, ,2,1,2,1,2, ,3, ,2,2,1,4,2,2,1,1,4,2,2, , , , ,2,69,6,2,1,1, ,11,1,2,5,7,1,3,2, ,2,3,3,4,2,2,2, , ,1,1,1,9,0.6960183,0.4498214
200856,2,180920,180920,3,0,1,1,36,5,U,1,36,,5,1,2,1, , , ,1, ,,2,2,2,2,2, ,3,1,3,1,1,1,1,2,2,2,1,1, , , , , , , ,2,2,2,2, , , , ,2,2,1,3,2,1,2,2, , ,2,2, , ,1, ,3, ,1,2,1,1,2, ,2,1,1, ,2,2, ,2,1,3,2,2,2,1,3, , ,3,3,1,9,2,47,7,2,1,1, ,2, ,2,4,9,1,2, , ,2,3,4,4,2,2,2, , ,1,1,1,9,1.0715685,0.9320641
200859,2,180920,180920,3,0,1,2,26,5,S,2,26,,3,2,2,1, , , ,2, ,,2,2,2,2,1, ,1,1,3,2,1,1, , , , , , ,2,2,2,4,2,2,1, , , , ,2,1,1,1,3,2,3,4,2, , , ,1,4, , ,2,2, ,3, ,2,5,1,1, ,2,2,1,1,2, ,2, ,2,4,1,2,2,1,1,9,4,9,9,1,1,1,1,2,60,7,2,1,1, ,2, ,2,1,7,1,1, ,2,1,3,2,2,1, ,1, , ,1,1,1,9,0.9885707,0.5654423
200861,2,180920,180920,3,0,1,1,42,2,S,1,42,,3,2,2,4, , , ,2, ,,2,2,1,2,1, ,2,1,1,1,1,2, , , , , , ,2,2,2,3,1,2,1, , , , ,2,1,9,1,3,3,3,2,2, , , ,1,3, , ,4,4, ,1, ,1,1,2,1, ,2,1,2,1,2, ,1, ,2,9,9,2,3,5,1,3,2,9,9, , , , ,2,76,8,2,1,1, ,1, ,1,2,3,1,3,9, ,9,3,3, ,2,2,2, , ,2,0,1,9,0.8529903,0.7265003
200862,2,180920,180920,3,0,1,1,36,5,U,1,36,,5,1,2,1, , , ,2, ,,2,1,1,3,9,1,9,1,3,1,1,3, , , , , , ,1,1,9,1,1,2,2, , , , ,9,1,1,1,1,1,4,2,2, , , ,1,1, , ,1,1, ,1, ,3,5,2,2, ,1,2,9,9, , ,3, ,9,3,1,2,3,4,1,4,2,9,2, , , , ,1,30,4,2,1,1, ,5, , ,1,10,1,3,1,1,1,2,3,1,9,2,2, , ,1,1,1,1,2.067129,1.6843394
200864,2,180920,180920,3,0,1,2,26,3,S,2,26,,3,2,2,2, , , ,2, ,,2,2,1,2,1, ,3,1,3,2,2,1, , , , , , ,3,1,1,3,3,2,2, , , , ,2,9,1,1,2,1,2,2,2, , , ,1,1, , ,1,1, ,3, ,2,2,2,1, ,2,1,2,1,2, ,3, ,1,3,1,2,2,1,1,2,2,2,2, , , , ,1,60,7,2,1,1, ,1, ,1,2,8,1,3,1,2,1,3,3,2,5,4,3, , ,2,0,1,9,0.3012986,0.455436
200865,2,180920,180920,3,0,1,3,13,4,S,3,13,,4,2,9,9, , , ,1, ,,2,1,1,2,1, ,3,1,3,2,3,2,4,2,2,3,4,3, , , , , , , ,1,1,1,1, , , , ,1,3,1,2,2,3,1,4, , ,1,1, , ,4, ,1, ,2,2,2,5,1, ,1,2, ,2,3,1, ,2,2,2,3,3,1,3,3, , , , , , ,1,72,5,2,1,1, ,12, , ,5,7,1,1, ,2,1,2,1,1,1, ,1, , ,1,1,1,9,0.7662101,0.4173549
