respid,sample,int_date,fcall,attempt,refusal,ilang,cregion,state,density,usr,scregion,sstate,susr,sdensity,igender,ihisp1,irace1m1,irace1m2,irace1m3,irace1m4,form,llitext,phtype,qs1,q1,q2,campnii,q7,q8,q11,q12,q13,q28a,q28b,q28c,q28df1,q28e,q28ff1,q28gf1,q28hf1,q28if1,q28jf2,q28kf2,q28lf2,q28mf2,q28nf2,q28of2,q28pf2,q33af1,q33bf1,q33cf1,q33df1,q33ef2,q33ff2,q33gf2,q33hf2,q44a,q44b,q45a,q45b,q46,q50af1,q50bf1,q50cf1,q50df2,q50ef2,q51af1,q51bf1,q51cf2,q51df2,q58,q59,q64f1,q65f2,q66a,q66b,q66c,q66df1,q66e,q66ff2,q73,q74,q74a,q74b,q75,q76,q77,q78,q79,q83a,q83b,q84,q93,q96,q97,q98,q99,q100a,q100b,q100c,q100d,sex,age,educ,hisp,racecmb,racethn,birth_hisp,relig,chr,born,attend,income,reg,party,partyln,q101,partysum,ideo,partyideo,partysumideo,hh1,hh3,adults,ql1,ql1a,qc1,ll,cp,money2,cellweight,weight
109,1,180918,180918,1,0,1,3,48,1,R,3,48,R,1,2,2,1, , , ,2,1,1,2,2,1,1,1, ,1,2,1,1,2,1, , , , , , ,1,1,9,1,1,1,1, , , , ,1,1,1,1,3,1,1,2,1, , , ,1,4, , ,1,1, ,1, ,1,2,2,5, ,1,2,1,2, ,2,1, ,1,3,2,1,4,8,1,4,2,9,2, , , , ,1,71,5,2,1,1, ,1, ,1,2,6,1,1, ,1,1,1,1,1,2,2,2,1, , ,1,1, , ,0.363776
110,1,180918,180918,1,0,1,4,8,2,U,4,8,U,2,2,2,1, , , ,1,1,0,2,2,2,2,2, ,3,1,3,2,1,1,1,2,3,1,1,1, , , , , , , ,2,1,2,2, , , , ,3,2,1,2,1,1,2,2, , ,2,2, , ,1, ,1, ,1,2,1,1,2, ,2,1,1, ,3,2, ,2,1,3,2,1,1,1,4, , , , , , ,1,77,7,2,1,1, ,1, ,2,4,8,1,3,2, ,2,4,3,5,2,2,2,1, , ,1,1, , ,0.2808725
111,1,180918,180918,1,0,1,4,49,2,R,4,49,R,1,2,9,9, , , ,2,2,2,2,9,9,4,1, ,1,1,1,1,1,2, , , , , , ,2,1,1,1,1,2,4, , , , ,2,2,1,1,2,1,2,1,1, , , ,4,1, , ,1,2, ,4, ,1,5,2,1, ,1,1,1,2, ,2,3, ,2,3,2,2,3,2,2,1,3,1,9, , , , ,2,46,5,2,1,1, ,3, ,2,1,7,1,1, ,2,1,1,1,1,6,2,2,1, , ,1,1, , ,0.7548886
112,1,180918,180918,1,0,1,4,8,1,R,4,8,R,1,2,2,1, , , ,1,1,0,2,2,1,2,1, ,3,2,1,1,1,1,2,1,2,1,2,2, , , , , , , ,1,1,1,1, , , , ,2,1,3,5,1,2,1,4, , ,9,1, , ,2, ,1, ,2,2,2,1,2, ,1,1,2, ,1,1, ,9,2,2,4,9,2,4,2, , , , , , ,1,65,3,2,1,1, ,13, ,2,6,2,1,3,1,1,1,1,3,1,1, ,1,1, , ,1,1, , ,0.4746309
113,1,180918,180918,1,0,1,4,8,1,S,4,8,S,3,2,2,1, , , ,1,1,1,2,2,2,2,2, ,1,1,2,2,2,2,2,2,1,2,2,1, , , , , , , ,2,1,2,2, , , , ,2,3,2,2,2,3,2,2, , ,1,2, , ,1, ,1, ,2,1,1,1,2, ,2,1,1, ,3,2, ,2,1,3,3,3,1,2,4, , , , , , ,1,71,6,2,1,1, ,12, , ,5,8,1,3,2, ,2,3,3,4,2,2,2,1, , ,1,1, , ,0.2808725
115,1,180918,180918,1,0,1,4,53,4,U,4,53,U,4,2,2,1, , , ,2,2,0,2,2,2,1,2, ,3,1,2,2,2,1, , , , , , ,2,1,2,1,2,2,2, , , , ,2,2,2,9,2,3,2,2,2, , , ,2,1, , ,2,2, ,4, ,2,1,1,1, ,2,1,2,1,2, ,2, ,2,1,1,3,2,8,1,1,4,2,2, , , , ,1,89,6,2,1,1, ,14, , ,2,5,1,2, , ,2,3,4,4,1, ,1,1, , ,1,1, , ,0.2808725
117,1,180918,180918,1,0,1,4,53,4,U,4,53,U,4,1,2,1, , , ,1,1,1,2,2,2,2,2, ,1,1,2,1,1,1,1,1,2,1,1,1, , , , , , , ,2,2,2,2, , , , ,3,1,2,1,2,1,2,2, , ,2,2, , ,2, ,2, ,9,1,1,1,2, ,2,1,1, ,3,2, ,4,1,4,1,8,1,1,4, , , , , , ,2,68,5,2,1,1, ,5, , ,5,2,1,2, , ,2,4,5,5,1, ,1,2, , ,1,0, , ,0.5628866
118,1,180918,180918,1,0,1,4,4,3,U,4,4,U,3,2,2,1, , , ,2,2,1,2,2,2,3,9,2,2,9,2,1,1,1, , , , , , ,1,1,1,1,1,1,1, , , , ,2,2,2,2,3,3,2,2,9, , , ,4,4, , ,2,4, ,2, ,9,2,2,1, ,9,9,2,1,9, ,3, ,2,9,1,3,3,8,1,2,4,9,9,9,9,9,9,2,99,5,2,1,1, ,2, ,1,4,9,9,9,9, ,9,9,9,9,9,9,2,1, , ,1,1, , ,0.5763351
119,1,180918,180918,1,0,1,4,6,2,U,4,6,U,2,2,9,9, , , ,1,2,0,2,1,1,4,1, ,1,2,1,1,1,1,2,1,1,1,2,1, , , , , , , ,1,1,1,1, , , , ,2,3,1,5,2,3,4,4, , ,3,3, , ,4, ,3, ,5,1,1,1,1, ,1,2, ,2,1,9, ,3,2,2,3,3,2,2,2, , , , , , ,2,58,6,2,1,1, ,1, ,1,4,10,1,3,1,1,1,2,3,1,2,2,2,1, , ,1,1, , ,0.45855
120,1,180918,180918,1,0,1,4,6,4,S,4,6,S,4,2,2,1, , , ,1,2,1,2,2,1,1,9,9,1,1,2,1,1,4,1,2,1,1,2,1, , , , , , , ,2,2,2,2, , , , ,4,2,2,3,1,1,1,2, , ,9,2, , ,1, ,2, ,1,1,1,1,2, ,1,1,1, ,2,2, ,2,2,4,2,1,1,1,4, , , , , , ,1,87,6,2,1,1, ,3, ,2,2,4,1,3,9, ,9,3,3, ,1, ,1,1, , ,1,1, , ,0.2808725
121,1,180918,180918,1,0,1,4,6,4,S,4,6,S,4,1,2,1, , , ,1,2,1,2,2,2,3,9,9,1,1,2,1,1,1,1,1,1,1,2,1, , , , , , , ,2,2,2,2, , , , ,2,2,2,3,1,3,2,3, , ,3,2, , ,2, ,3, ,1,1,5,1,2, ,2,1,2, ,3,2, ,2,1,2,2,2,2,2,3, , , , , , ,2,80,6,2,1,1, ,1, ,1,5,8,1,2, , ,2,4,5,5,2,2,2,1, , ,1,1, , ,0.3679034
122,1,180921,180918,4,0,1,4,6,5,S,4,6,S,5,2,2,1, , , ,1,1,1, ,2,1,4,1, ,2,2,3,2,2,2,3,9,2,1,2,1, , , , , , , ,1,1,1,1, , , , ,2,3,2,1,2,2,1,1, , ,1,1, , ,2, ,2, ,2,1,1,2,2, ,2,2, ,2,3,1, ,2,2,3,4,2,1,3,2, , , , , , ,2,78,6,2,1,1, ,12, , ,4,4,2,1, ,1,1,2,1,1,4,3,3,1, , ,1,1, , ,0.4882353
125,1,180919,180918,2,0,1,4,2,2,U,4,2,U,2,1,2,1, , , ,1,1,1,2,2,2,1,2, ,1,1,2,2,1,1,3,2,2,2,2,2, , , , , , , ,2,2,2,2, , , , ,3,2,2,2,9,1,2,4, , ,2,2, , ,1, ,2, ,1,1,1,1,2, ,2,1,1, ,3,2, ,2,2,3,2,2,1,1,3, , , , , , ,1,50,7,2,1,1, ,1, ,2,3,9,1,3,2, ,2,4,3,5,5,3,3,1, , ,1,1, , ,0.4089504
127,1,180919,180919,1,0,1,2,26,1,R,2,26,R,1,2,2,1, , , ,1,2,1,2,1,1,1,2, ,1,2,3,1,1,1,4,1,1,1,1,1, , , , , , , ,1,1,1,1, , , , ,2,3,3,2,1,1,2,2, , ,2,1, , ,2, ,1, ,1,1,2,2,2, ,2,1,1, ,1,1, ,2,1,3,2,1,2,2,2, , ,2,2,1,2,2,45,6,2,1,1, ,2, ,2,4,6,1,3,2, ,2,3,3,4,2,2,2,2,2, ,1,0, , ,1.4370719
128,1,180919,180919,1,0,1,3,21,4,U,3,21,U,4,2,2,2, , , ,1,2,1,2,2,2,3,2, ,2,2,3,3,3,3,3,2,3,2,3,1, , , , , , , ,1,2,1,1, , , , ,3,3,4,2,9,1,2,2, , ,1,1, , ,2, ,2, ,1,1,1,1,2, ,1,1,1, ,3,9, ,2,1,3,2,8,2,2,3, , , , , , ,1,30,5,2,4,4, ,12, , ,5,2,3,3,2, ,2,2,3,4,2,2,2,1, , ,1,1, , ,1.623157
129,1,180919,180919,1,0,1,2,26,2,R,2,26,R,2,1,2,1, , , ,1,2,0,2,1,1,4,1, ,2,2,1,1,1,1,4,1,1,1,4,1, , , , , , , ,1,1,1,1, , , , ,3,1,4,2,1,2,1,1, , ,1,1, , ,4, ,2, ,2,1,1,2,1, ,1,1,1, ,2,1, ,1,1,2,2,4,3,1,1, , , , , , ,1,48,2,2,1,1, ,12, , ,6,1,1,3,1,1,1,3,3,2,4,2,2,2,2, ,1,0, , ,2.5463809
130,1,180919,180919,1,0,1,2,39,4,U,2,39,U,4,2,2,1, , , ,1,2,0,2,2,2,1,2, ,1,1,2,2,2,3,1,3,1,1,2,2, , , , , , , ,2,2,2,2, , , , ,2,2,3,3,2,1,2,2, , ,1,2, , ,1, ,1, ,1,1,1,1,2, ,2,2, ,2,3,2, ,4,1,2,2,1,1,1,4, , ,2,2,1,2,1,61,4,2,1,1, ,2, ,2,2,6,1,2, , ,2,4,5,5,1, ,1,1, , ,1,1, , ,0.5802985
131,1,180919,180919,1,0,1,1,9,4,R,1,9,R,2,2,2,1, , , ,1,1,1,2,2,2,2,9,2,1,1,3,1,1,2,1,1,1,1,1,1, , , , , , , ,2,2,2,2, , , , ,2,3,3,5,1,9,2,2, , ,2,9, , ,1, ,2, ,2,1,1,1,2, ,2,1,2, ,3,9, ,3,1,3,2,2,2,1,3, , , , , , ,2,85,3,2,1,1, ,1, ,2,5,2,1,3,2, ,2,3,3,4,3,3,3,1, , ,1,1, , ,1.3317793
132,1,180921,180919,4,0,1,2,26,1,R,2,26,R,1,1,2,1, , , ,2,2,1,2,2,2,1,2, ,3,1,2,1,1,1, , , , , , ,1,1,1,4,1,2,2, , , , ,2,2,2,2,2,3,2,5,2, , , ,4,4, , ,2,2, ,2, ,2,2,1,1, ,2,1,2,1,1, ,1, ,2,1,2,3,2,8,2,1,4,2,2, , , , ,2,70,5,2,1,1, ,1, ,2,5,5,1,3,2, ,2,4,3,5,2,2,2,1, , ,1,1, , ,0.4608721
136,1,180919,180919,1,0,1,2,18,2,U,2,18,U,2,2,2,1, , , ,1,2,1,2,1,1,2,1, ,1,1,1,1,2,1,1,1,1,1,2,1, , , , , , , ,1,1,1,1, , , , ,2,1,2,5,1,2,1,1, , ,1,3, , ,3, ,1, ,2,9,2,2,1, ,1,2, ,2,3,1, ,3,9,1,4,8,1,4,1, , , , , , ,1,66,5,2,1,1, ,1, ,1,9,5,1,1, ,2,1,2,1,1,2,2,2,1, , ,1,1, , ,0.4179066
